"name","industries","hq","website","estimated_revenue","employees","ticker"
"ANDERSON TECHNOLOGIES","Computer, Consulting, Cyber Security, Hardware, Information Technology, Software, Web Design","St Louis, Missouri, United States","andersontech.com","Less than $1M",,
"ASG Information Technologies","Consulting, Cyber Security, Information Technology, Network Hardware, VoIP","Wallingford, Connecticut, United States","www.asgct.com/","Less than $1M",,
"AT&T Business","Cloud Data Services, Hardware, Telecommunications, Wireless","Dallas, Texas, United States","www.business.att.com","$500M to $1B",,
"Aitivity","Blockchain, Cyber Security, Hardware, Information Technology, Internet of Things, Security","San Francisco, California, United States","www.aitivity.com/","—",,
"Asi Networks","Collaboration, Cyber Security, Network Hardware","City Of Industry, California, United States","www.asi-networks.com","$1M to $10M",,
"Aztech Consulting","Consulting, Information Technology, Network Hardware","Dover, Massachusetts, United States","www.aztechgroup.com","Less than $1M",,
"Bayou Technologies","Communication Hardware, Cyber Security, Data Integration","Lake Charles, Louisiana, United States","bayoutechnologies.com/","$1M to $10M",,
"Blockchain Development Foundation","Blockchain, Hardware, Information Technology, Software","Lodz, Lodzkie, Poland","www.blockchaindev.eu","—",,
"Borsight","Aerospace, Cyber Security, Hardware, Software Engineering, Training","Ogden, Utah, United States","www.borsight.com/","$1M to $10M",,
"BreakPoint Labs","Cyber Security, Hardware","Falls Church, Virginia, United States","breakpoint-labs.com","Less than $1M",,
"Broadcom Limited","Electronics, Information Technology, Semiconductor","San Jose, California, United States",,"$1B to $10B","5001-10000","FRA:1YD"
"CMGeeks","Cloud Computing, Cyber Security, IT Management, Network Hardware, Software, Virtualization","Oakham, Massachusetts, United States","www.cmgeeks.com/","Less than $1M",,
"CML","Cyber Security, Hardware, Software","Boise, Idaho, United States","cmlab.biz/","$1M to $10M",,
"CRM","Network Hardware, Security, Software","Desselgem, West-Vlaanderen, Belgium","www.crm.be","$1M to $10M",,
"Cisco","Communications, Infrastructure Enterprise, Software Hardware","San Francisco Bay Area, Silicon Valley, West Coast",,"$10B+","10001+","CSCO"
"Claranet","Cloud Computing, Cyber Security, Information Technology, Network Hardware, Unified Communications","London, England, United Kingdom","www.claranet.co.uk/","$100M to $500M",,
"Code Blue Computing","Cloud Computing, Cyber Security, IT Management, Network Hardware","Broomfield, Colorado, United States","codebluecomputing.com/","$10M to $50M",,
"Concentrade","Cyber Security, IT Infrastructure, Network Hardware, Network Security","Dortmund, Nordrhein-Westfalen, Germany","www.concentrade.de/","$1M to $10M",,
"Corepoint Networks","Cloud Computing, Cyber Security, Information Technology, Network Hardware","Mount Laurel, New Jersey, United States","corepointnetworks.com/","$1M to $10M",,
"Crypto Quantique","Cyber Security, Hardware, Software, Wired Telecommunications","City Of London, England, United Kingdom","cryptoquantique.com/","$1M to $10M",,
"Cryptomage","Analytics, Communication Hardware, Cyber Security, Telecommunications","Wroclaw, Dolnoslaskie, Poland","www.cryptomage.com","$1M to $10M",,
"CyberArk","Cloud Security, Cyber Security, Security","Newton, Massachusetts, United States",,"$100M to $500M","1001-5000","CYBR"
"CyberSwarm","Artificial Intelligence, Cyber Security, Hardware","Delaware, Ohio, United States","www.cyber-swarm.net","—",,
"Cyberkite","Cyber Security, Information Technology, Internet, Network Hardware, Network Security, Robotics, Smart Home, Unified Communications","Glen Waverley, Victoria, Australia","www.cyberkite.com.au","—",,
"Datacomm Diangraha","Communication Hardware, Data Integration, Information Technology","Jakarta, Jakarta Raya, Indonesia","www.datacomm.co.id/en/","—",,
"Decamind","Cyber Security, Network Hardware, Web Hosting","Brooklyn, New York, United States","www.decamind.com/","Less than $1M",,
"Developers Forensics Tools","Cyber Security, Hardware, Information Technology","A Coruña, Galicia, Spain","dftools.net/","—",,
"Digisoft IT","Cyber Security, IT Infrastructure, IT Management, Network Hardware, Telecommunications","Dallas, Texas, United States","digisoftit.com/","—",,
"ERI","Cyber Security, Hardware, Information Technology","Fresno, California, United States","ERIDirect.com","—",,
"EVERNET","Brand Marketing, Consulting, Cyber Security, Digital Marketing, Hardware, Software","Hartford, Connecticut, United States","www.evernetco.com/","Less than $1M",,
"Edge Informations Systems","Architecture, Cyber Security, Network Hardware","Washington, District of Columbia, United States","www.edgeis.net/","Less than $1M",,
"Entech Network Consulting","Communications Infrastructure, Cyber Security, Network Hardware","Great Falls, Virginia, United States","www.entech-usa.net/","Less than $1M",,
